productName,productPrice,productRating,productReviewCount,productInStock,productBackOrder,productStockLimitations,productExclusiveTags,productSeriesTags,seriesName,seriesImage,productAgeRatingBottom,productAgeRatingTop,productPieceCount,vipPoints,chokeWarning,offersFlyer,signUpOffer,offersImageLink
expedita quibusdam maxime,844.24,1.4,889,0,102,3,ex,quia/velit/mollitia,voluptatem,https://loremflickr.com/320/240/electronics,12,75929,4288,6319,false,Minima expedita quia nostrum voluptate soluta cumque adipisci rerum.Consectetur dolores et saepe repellendus quia est.Nihil delectus voluptatem illum doloribus eos sequi.,0,https://s3.amazonaws.com/uifaces/faces/twitter/juanmamartinez/128.jpg
aliquid cum optio,847.40,2.3,4757,1,36,0,,atque/eveniet/facilis,est,https://loremflickr.com/320/240/electronics,11,2650,444,7744,false,Voluptatibus sed sed ut deleniti earum aperiam placeat.,1,https://s3.amazonaws.com/uifaces/faces/twitter/jamiebrittain/128.jpg
rem voluptatem impedit,388.96,4.1,2579,1,32,5,quasi/ullam,pariatur/voluptatem/tempore,non,https://loremflickr.com/320/240/electronics,16,3559,9163,3305,false,Molestiae quas corporis vel voluptatem libero facere quibusdam dignissimos est.Quasi dolorum porro.,1,https://s3.amazonaws.com/uifaces/faces/twitter/mtolokonnikov/128.jpg
quos earum occaecati,484.88,2.5,7270,0,85,2,magni,odio/odio,quia,https://loremflickr.com/320/240/electronics,2,45037,1751,836,true,,1,https://s3.amazonaws.com/uifaces/faces/twitter/colgruv/128.jpg
consequatur sint culpa,84.19,3.4,4005,0,110,6,iste,assumenda/sint,voluptatem,https://loremflickr.com/320/240/electronics,11,93029,4998,6831,true,,1,https://s3.amazonaws.com/uifaces/faces/twitter/danpliego/128.jpg
omnis at nisi,966.44,3.3,7047,1,33,6,perspiciatis/pariatur/odit,rerum/veniam/earum,esse,https://loremflickr.com/320/240/electronics,4,17333,2596,6164,true,,0,https://s3.amazonaws.com/uifaces/faces/twitter/lonesomelemon/128.jpg
qui perspiciatis numquam,385.56,2.4,504,1,107,1,,rerum,labore,https://loremflickr.com/320/240/electronics,9,74602,2407,556,false,Aperiam alias dolore est quam.Enim hic et.Labore qui voluptas provident eius quod in explicabo qui.,0,https://s3.amazonaws.com/uifaces/faces/twitter/cyril_gaillard/128.jpg
ut odio sint,98.12,4.8,6712,0,58,2,consequatur/iure/ratione,pariatur/delectus/necessitatibus/ut,numquam,https://loremflickr.com/320/240/electronics,3,93517,2636,7605,false,,0,https://s3.amazonaws.com/uifaces/faces/twitter/n1ght_coder/128.jpg
accusamus maiores illo,700.54,2.4,8394,1,109,1,facere,sed,enim,https://loremflickr.com/320/240/electronics,12,49049,3313,5991,true,Voluptatem hic sunt qui quia tempore sed quia et.,1,https://s3.amazonaws.com/uifaces/faces/twitter/jydesign/128.jpg
facilis sed voluptatem,163.01,2.8,9162,0,44,7,nulla/tempore,sed/officiis/accusamus/voluptas,ipsam,https://loremflickr.com/320/240/electronics,1,40603,4507,8994,true,,0,https://s3.amazonaws.com/uifaces/faces/twitter/longlivemyword/128.jpg
